frequency,gain,phase
10.0,1.2674014175378652,-2.1739271842530097
20.0,0.06462418400672115,-4.25448989092888
30.0,0.024365296973046464,-6.531027341510151
40.0,0.013437244758447509,-6.291717913572152
50.0,0.005574193343180162,-3.32553217059712
60.0,0.006300387625166122,-3.4856802309776
70.0,0.0007230993767234159,-3.119093606781181
80.0,0.0012128966990651612,-2.0462402282640477
90.0,0.0011150767986070416,-2.066641908435527
100.0,0.0015006614359704632,-3.1476076341312362
110.0,0.0011075184314034013,-2.569802561653008
120.0,0.0006646486576298108,-2.473393664149956
130.0,0.00025269848792586403,-2.183245929216794
140.0,0.000510966980776967,-2.5721984677801957
150.0,0.0005210487417966499,-2.8970890411533876
160.0,0.0004622091555090389,-2.0417578954263984
170.0,0.0005669597703569731,-4.058126090110479
180.0,0.0005209564416277238,-0.9619090138302242
190.0,0.0003431774790797104,-1.516149028307108
200.0,0.00036808122040748597,-2.3356005154600323
210.0,9.246639118038362e-05,-0.27968927469554233
220.0,0.0001927422510436882,-0.0006573222561689166
230.0,0.00011128725791958637,-2.3262597870025212
240.0,0.00015622416918588712,-0.10357613629735951
250.0,0.0001199508696021108,1.4732132850343307
260.0,9.190366086506408e-05,2.9786686886068545
270.0,0.00014055499185669005,1.2930223356507171
280.0,9.445138893464772e-05,2.509789562312088
290.0,0.0002011412501092636,3.957719237955955
300.0,0.00012707006994112477,3.139078621234183
310.0,3.77179647060208e-05,5.486659880377752
320.0,8.767433469557794e-05,4.459732043546969
330.0,0.00024504225181311355,3.9077397004512897
340.0,0.00011844238624044394,3.2464853478985085
350.0,9.235383190791818e-05,4.421840453539087
360.0,0.0001825602679142301,2.855631791596016
370.0,0.00013517225704601352,4.069790434035374
380.0,0.00023077704396333166,5.872060834283083
390.0,6.990275007418737e-05,3.5637847680869377
400.0,6.71294913160792e-05,1.256486245802285
